reading_id,mine_id,sensor_type,value,unit,recorded_at
62,2,temperature,22.3,C,2026-09-06T20:44:00+00:00
63,2,temperature,31.0,C,2026-09-07T02:47:00+00:00
64,2,temperature,36.4,C,2026-09-07T08:45:00+00:00
65,2,temperature,43.4,C,2026-09-07T14:20:00+00:00
66,2,temperature,28.6,C,2026-09-07T20:46:00+00:00
67,2,temperature,22.8,C,2026-09-08T02:48:00+00:00
68,2,temperature,43.4,C,2026-09-08T08:55:00+00:00
69,2,temperature,30.6,C,2026-09-08T14:58:00+00:00
70,2,temperature,29.0,C,2026-09-08T20:18:00+00:00
71,2,temperature,40.7,C,2026-09-09T02:32:00+00:00
72,2,temperature,32.9,C,2026-09-09T08:28:00+00:00
73,3,dust,17.5,mg/m3,2026-09-06T14:34:00+00:00
74,3,dust,7.1,mg/m3,2026-09-06T21:00:00+00:00
75,3,dust,3.1,mg/m3,2026-09-07T02:26:00+00:00
76,3,dust,2.3,mg/m3,2026-09-07T08:22:00+00:00
77,3,dust,8.8,mg/m3,2026-09-07T14:19:00+00:00
78,3,dust,8.0,mg/m3,2026-09-07T20:38:00+00:00
79,3,dust,7.8,mg/m3,2026-09-08T02:55:00+00:00
80,3,dust,2.3,mg/m3,2026-09-08T08:33:00+00:00
81,3,dust,4.2,mg/m3,2026-09-08T14:53:00+00:00
82,3,dust,6.7,mg/m3,2026-09-08T20:15:00+00:00
83,3,dust,4.0,mg/m3,2026-09-09T02:43:00+00:00
84,3,dust,4.7,mg/m3,2026-09-09T08:47:00+00:00
85,3,gas,44.9,ppm,2026-09-06T14:18:00+00:00
86,3,gas,18.8,ppm,2026-09-06T20:48:00+00:00
87,3,gas,10.3,ppm,2026-09-07T02:19:00+00:00
88,3,gas,42.2,ppm,2026-09-07T08:16:00+00:00
89,3,gas,29.0,ppm,2026-09-07T14:51:00+00:00
90,3,gas,41.6,ppm,2026-09-07T20:57:00+00:00
91,3,gas,27.7,ppm,2026-09-08T02:26:00+00:00
92,3,gas,40.5,ppm,2026-09-08T08:29:00+00:00
93,3,gas,33.9,ppm,2026-09-08T14:30:00+00:00
94,3,gas,22.1,ppm,2026-09-08T20:37:00+00:00
95,3,gas,24.9,ppm,2026-09-09T02:54:00+00:00
96,3,gas,21.8,ppm,2026-09-09T08:35:00+00:00
97,3,temperature,29.8,C,2026-09-06T14:35:00+00:00
98,3,temperature,31.7,C,2026-09-06T20:25:00+00:00
99,3,temperature,22.5,C,2026-09-07T02:51:00+00:00
100,3,temperature,40.3,C,2026-09-07T08:59:00+00:00
101,3,temperature,30.4,C,2026-09-07T14:19:00+00:00
102,3,temperature,39.3,C,2026-09-07T20:34:00+00:00
103,3,temperature,31.7,C,2026-09-08T02:21:00+00:00
104,3,temperature,24.4,C,2026-09-08T08:47:00+00:00
105,3,temperature,25.0,C,2026-09-08T14:35:00+00:00
106,3,temperature,38.1,C,2026-09-08T20:22:00+00:00
107,3,temperature,30.0,C,2026-09-09T02:56:00+00:00
108,3,temperature,33.7,C,2026-09-09T08:53:00+00:00
109,4,dust,6.7,mg/m3,2026-09-06T14:26:00+00:00
110,4,dust,19.1,mg/m3,2026-09-06T20:56:00+00:00
111,4,dust,5.9,mg/m3,2026-09-07T02:27:00+00:00
112,4,dust,2.3,mg/m3,2026-09-07T08:18:00+00:00
113,4,dust,3.1,mg/m3,2026-09-07T14:20:00+00:00
114,4,dust,5.2,mg/m3,2026-09-07T20:35:00+00:00
115,4,dust,8.4,mg/m3,2026-09-08T02:40:00+00:00
116,4,dust,3.7,mg/m3,2026-09-08T08:31:00+00:00
117,4,dust,2.6,mg/m3,2026-09-08T14:37:00+00:00
118,4,dust,3.9,mg/m3,2026-09-08T20:53:00+00:00
119,4,dust,20.1,mg/m3,2026-09-09T02:41:00+00:00
120,4,dust,7.3,mg/m3,2026-09-09T08:54:00+00:00
121,4,gas,5.2,ppm,2026-09-06T14:28:00+00:00
122,4,gas,17.6,ppm,2026-09-06T20:54:00+00:00
123,4,gas,26.7,ppm,2026-09-07T02:18:00+00:00
124,4,gas,41.0,ppm,2026-09-07T08:28:00+00:00
125,4,gas,19.4,ppm,2026-09-07T14:16:00+00:00
126,4,gas,30.6,ppm,2026-09-07T20:47:00+00:00
127,4,gas,30.9,ppm,2026-09-08T02:16:00+00:00
128,4,gas,39.3,ppm,2026-09-08T08:25:00+00:00
129,4,gas,37.8,ppm,2026-09-08T14:51:00+00:00
130,4,gas,42.8,ppm,2026-09-08T20:47:00+00:00
131,4,gas,11.4,ppm,2026-09-09T02:45:00+00:00
132,4,gas,18.4,ppm,2026-09-09T08:55:00+00:00
133,4,temperature,25.8,C,2026-09-06T14:18:00+00:00
134,4,temperature,29.1,C,2026-09-06T20:47:00+00:00
135,4,temperature,22.1,C,2026-09-07T02:18:00+00:00
136,4,temperature,25.6,C,2026-09-07T08:46:00+00:00
137,4,temperature,23.4,C,2026-09-07T14:29:00+00:00
138,4,temperature,30.3,C,2026-09-07T20:23:00+00:00
139,4,temperature,31.2,C,2026-09-08T02:54:00+00:00
140,4,temperature,37.0,C,2026-09-08T08:47:00+00:00
141,4,temperature,31.1,C,2026-09-08T14:26:00+00:00
142,4,temperature,40.7,C,2026-09-08T20:50:00+00:00
143,4,temperature,28.9,C,2026-09-09T02:48:00+00:00
144,4,temperature,25.7,C,2026-09-09T08:54:00+00:00
145,5,dust,1.6,mg/m3,2026-09-06T14:31:00+00:00
146,5,dust,6.0,mg/m3,2026-09-06T20:36:00+00:00
147,5,dust,9.0,mg/m3,2026-09-07T02:22:00+00:00
148,5,dust,7.4,mg/m3,2026-09-07T08:34:00+00:00
149,5,dust,7.2,mg/m3,2026-09-07T14:58:00+00:00
150,5,dust,1.7,mg/m3,2026-09-07T20:16:00+00:00
151,5,dust,4.8,mg/m3,2026-09-08T02:54:00+00:00
152,5,dust,4.5,mg/m3,2026-09-08T08:20:00+00:00
153,5,dust,6.1,mg/m3,2026-09-08T14:59:00+00:00
154,5,dust,3.7,mg/m3,2026-09-08T20:41:00+00:00
155,5,dust,8.5,mg/m3,2026-09-09T02:48:00+00:00
156,5,dust,8.7,mg/m3,2026-09-09T08:29:00+00:00
157,5,gas,14.2,ppm,2026-09-06T14:53:00+00:00
158,5,gas,41.9,ppm,2026-09-06T20:37:00+00:00
159,5,gas,44.5,ppm,2026-09-07T02:48:00+00:00
160,5,gas,22.2,ppm,2026-09-07T08:48:00+00:00
161,5,gas,9.5,ppm,2026-09-07T14:41:00+00:00
162,5,gas,17.7,ppm,2026-09-07T20:54:00+00:00
163,5,gas,30.4,ppm,2026-09-08T02:54:00+00:00
164,5,gas,27.1,ppm,2026-09-08T08:20:00+00:00
165,5,gas,17.5,ppm,2026-09-08T14:15:00+00:00
166,5,gas,28.9,ppm,2026-09-08T20:59:00+00:00
167,5,gas,17.4,ppm,2026-09-09T02:57:00+00:00
168,5,gas,5.9,ppm,2026-09-09T08:22:00+00:00
169,5,temperature,33.9,C,2026-09-06T14:27:00+00:00
170,5,temperature,42.8,C,2026-09-06T20:27:00+00:00
171,5,temperature,23.5,C,2026-09-07T02:27:00+00:00
172,5,temperature,43.7,C,2026-09-07T08:47:00+00:00
173,5,temperature,55.6,C,2026-09-07T14:41:00+00:00
174,5,temperature,37.8,C,2026-09-07T20:26:00+00:00
175,5,temperature,42.0,C,2026-09-08T02:37:00+00:00
176,5,temperature,40.1,C,2026-09-08T08:37:00+00:00
177,5,temperature,39.4,C,2026-09-08T14:38:00+00:00
178,5,temperature,47.4,C,2026-09-08T20:28:00+00:00
179,5,temperature,24.5,C,2026-09-09T02:22:00+00:00
180,5,temperature,28.7,C,2026-09-09T09:00:00+00:00
181,6,dust,16.0,mg/m3,2026-09-06T14:55:00+00:00
182,6,dust,7.9,mg/m3,2026-09-06T20:48:00+00:00
183,6,dust,5.9,mg/m3,2026-09-07T02:48:00+00:00
184,6,dust,3.6,mg/m3,2026-09-07T08:23:00+00:00
185,6,dust,6.9,mg/m3,2026-09-07T14:30:00+00:00
186,6,dust,5.5,mg/m3,2026-09-07T20:44:00+00:00
187,6,dust,2.1,mg/m3,2026-09-08T02:18:00+00:00
188,6,dust,7.3,mg/m3,2026-09-08T08:33:00+00:00
189,6,dust,7.6,mg/m3,2026-09-08T14:57:00+00:00
190,6,dust,4.1,mg/m3,2026-09-08T20:51:00+00:00
191,6,dust,7.7,mg/m3,2026-09-09T02:42:00+00:00
192,6,dust,8.6,mg/m3,2026-09-09T08:53:00+00:00
193,6,gas,23.6,ppm,2026-09-06T14:24:00+00:00
194,6,gas,33.1,ppm,2026-09-06T20:18:00+00:00
195,6,gas,35.2,ppm,2026-09-07T02:50:00+00:00
196,6,gas,6.3,ppm,2026-09-07T08:28:00+00:00
197,6,gas,17.4,ppm,2026-09-07T14:51:00+00:00
198,6,gas,36.2,ppm,2026-09-07T20:46:00+00:00
199,6,gas,12.7,ppm,2026-09-08T02:57:00+00:00
200,6,gas,23.4,ppm,2026-09-08T08:58:00+00:00
201,6,gas,20.3,ppm,2026-09-08T14:39:00+00:00
202,6,gas,9.8,ppm,2026-09-08T20:17:00+00:00
203,6,gas,25.2,ppm,2026-09-09T02:27:00+00:00
204,6,gas,24.6,ppm,2026-09-09T08:21:00+00:00
205,6,temperature,31.0,C,2026-09-06T14:49:00+00:00
206,6,temperature,24.1,C,2026-09-06T20:16:00+00:00
207,6,temperature,25.9,C,2026-09-07T02:47:00+00:00
208,6,temperature,25.9,C,2026-09-07T08:21:00+00:00
209,6,temperature,31.2,C,2026-09-07T14:41:00+00:00
210,6,temperature,32.5,C,2026-09-07T21:00:00+00:00
211,6,temperature,33.3,C,2026-09-08T02:49:00+00:00
212,6,temperature,28.0,C,2026-09-08T08:26:00+00:00
213,6,temperature,29.9,C,2026-09-08T14:28:00+00:00
214,6,temperature,39.9,C,2026-09-08T20:21:00+00:00
215,6,temperature,40.7,C,2026-09-09T02:30:00+00:00
216,6,temperature,43.9,C,2026-09-09T08:45:00+00:00
217,7,dust,6.8,mg/m3,2026-09-06T14:48:00+00:00
218,7,dust,7.4,mg/m3,2026-09-06T20:46:00+00:00
219,7,dust,6.3,mg/m3,2026-09-07T02:28:00+00:00
220,7,dust,4.3,mg/m3,2026-09-07T08:43:00+00:00
221,7,dust,2.9,mg/m3,2026-09-07T14:45:00+00:00
222,7,dust,3.4,mg/m3,2026-09-07T20:50:00+00:00
223,7,dust,8.1,mg/m3,2026-09-08T02:33:00+00:00
224,7,dust,2.0,mg/m3,2026-09-08T08:37:00+00:00
225,7,dust,5.4,mg/m3,2026-09-08T14:48:00+00:00
226,7,dust,7.2,mg/m3,2026-09-08T20:31:00+00:00
227,7,dust,1.9,mg/m3,2026-09-09T02:59:00+00:00
228,7,dust,14.9,mg/m3,2026-09-09T08:21:00+00:00
229,7,gas,13.3,ppm,2026-09-06T14:21:00+00:00
230,7,gas,10.5,ppm,2026-09-06T20:45:00+00:00
231,7,gas,13.9,ppm,2026-09-07T02:49:00+00:00
232,7,gas,22.9,ppm,2026-09-07T08:37:00+00:00
233,7,gas,25.4,ppm,2026-09-07T14:54:00+00:00
234,7,gas,20.5,ppm,2026-09-07T20:17:00+00:00
235,7,gas,14.2,ppm,2026-09-08T02:20:00+00:00
236,7,gas,39.2,ppm,2026-09-08T08:51:00+00:00
237,7,gas,21.0,ppm,2026-09-08T14:42:00+00:00
238,7,gas,6.7,ppm,2026-09-08T20:48:00+00:00
239,7,gas,34.0,ppm,2026-09-09T02:41:00+00:00
240,7,gas,14.4,ppm,2026-09-09T08:53:00+00:00
241,7,temperature,38.2,C,2026-09-06T14:24:00+00:00
242,7,temperature,43.9,C,2026-09-06T20:26:00+00:00
243,7,temperature,31.6,C,2026-09-07T02:48:00+00:00
244,7,temperature,26.2,C,2026-09-07T08:47:00+00:00
245,7,temperature,34.2,C,2026-09-07T14:18:00+00:00
246,7,temperature,29.6,C,2026-09-07T20:36:00+00:00
247,7,temperature,29.7,C,2026-09-08T02:26:00+00:00
248,7,temperature,41.5,C,2026-09-08T08:41:00+00:00
249,7,temperature,39.5,C,2026-09-08T14:50:00+00:00
250,7,temperature,24.0,C,2026-09-08T20:52:00+00:00
251,7,temperature,27.6,C,2026-09-09T02:22:00+00:00
252,7,temperature,29.7,C,2026-09-09T08:55:00+00:00
253,8,dust,1.8,mg/m3,2026-09-06T14:57:00+00:00
254,8,dust,4.1,mg/m3,2026-09-06T20:32:00+00:00
255,8,dust,4.6,mg/m3,2026-09-07T02:36:00+00:00
256,8,dust,8.5,mg/m3,2026-09-07T08:25:00+00:00
257,8,dust,6.7,mg/m3,2026-09-07T14:47:00+00:00
258,8,dust,18.0,mg/m3,2026-09-07T20:57:00+00:00
259,8,dust,2.6,mg/m3,2026-09-08T02:38:00+00:00
260,8,dust,5.3,mg/m3,2026-09-08T08:39:00+00:00
261,8,dust,8.1,mg/m3,2026-09-08T14:25:00+00:00
262,8,dust,7.4,mg/m3,2026-09-08T20:39:00+00:00
263,8,dust,1.7,mg/m3,2026-09-09T02:50:00+00:00
264,8,dust,2.5,mg/m3,2026-09-09T08:48:00+00:00
265,8,gas,15.5,ppm,2026-09-06T14:52:00+00:00
266,8,gas,43.2,ppm,2026-09-06T20:38:00+00:00
267,8,gas,27.4,ppm,2026-09-07T02:49:00+00:00
268,8,gas,16.2,ppm,2026-09-07T08:17:00+00:00
269,8,gas,29.6,ppm,2026-09-07T14:32:00+00:00
270,8,gas,21.1,ppm,2026-09-07T20:52:00+00:00
271,8,gas,6.4,ppm,2026-09-08T02:55:00+00:00
272,8,gas,22.4,ppm,2026-09-08T08:15:00+00:00
273,8,gas,33.1,ppm,2026-09-08T14:36:00+00:00
274,8,gas,25.6,ppm,2026-09-08T20:26:00+00:00
275,8,gas,32.8,ppm,2026-09-09T02:15:00+00:00
276,8,gas,43.5,ppm,2026-09-09T08:23:00+00:00
277,8,temperature,23.7,C,2026-09-06T14:38:00+00:00
278,8,temperature,33.0,C,2026-09-06T20:27:00+00:00
279,8,temperature,30.3,C,2026-09-07T02:41:00+00:00
280,8,temperature,27.8,C,2026-09-07T08:51:00+00:00
281,8,temperature,29.2,C,2026-09-07T14:46:00+00:00
282,8,temperature,33.9,C,2026-09-07T20:29:00+00:00
283,8,temperature,23.6,C,2026-09-08T02:51:00+00:00
284,8,temperature,40.0,C,2026-09-08T08:34:00+00:00
285,8,temperature,43.5,C,2026-09-08T14:46:00+00:00
286,8,temperature,29.3,C,2026-09-08T20:46:00+00:00
287,8,temperature,33.9,C,2026-09-09T02:30:00+00:00
288,8,temperature,51.1,C,2026-09-09T08:28:00+00:00
289,9,dust,5.9,mg/m3,2026-09-06T14:45:00+00:00
290,9,dust,1.8,mg/m3,2026-09-06T20:26:00+00:00
291,9,dust,3.2,mg/m3,2026-09-07T02:27:00+00:00
292,9,dust,5.7,mg/m3,2026-09-07T08:42:00+00:00
293,9,dust,2.9,mg/m3,2026-09-07T14:55:00+00:00
294,9,dust,4.0,mg/m3,2026-09-07T21:00:00+00:00
295,9,dust,9.4,mg/m3,2026-09-08T02:31:00+00:00
296,9,dust,3.1,mg/m3,2026-09-08T08:54:00+00:00
297,9,dust,2.7,mg/m3,2026-09-08T14:29:00+00:00
298,9,dust,6.3,mg/m3,2026-09-08T20:50:00+00:00
299,9,dust,3.9,mg/m3,2026-09-09T02:26:00+00:00
300,9,dust,7.9,mg/m3,2026-09-09T08:54:00+00:00
301,9,gas,14.8,ppm,2026-09-06T14:46:00+00:00
302,9,gas,6.3,ppm,2026-09-06T20:37:00+00:00
303,9,gas,34.2,ppm,2026-09-07T02:19:00+00:00
304,9,gas,65.8,ppm,2026-09-07T08:35:00+00:00
305,9,gas,42.3,ppm,2026-09-07T14:47:00+00:00
306,9,gas,43.1,ppm,2026-09-07T20:16:00+00:00
307,9,gas,37.9,ppm,2026-09-08T02:26:00+00:00
308,9,gas,21.9,ppm,2026-09-08T08:18:00+00:00
309,9,gas,43.9,ppm,2026-09-08T14:37:00+00:00
310,9,gas,41.1,ppm,2026-09-08T20:36:00+00:00
311,9,gas,22.5,ppm,2026-09-09T02:33:00+00:00
312,9,gas,5.5,ppm,2026-09-09T08:53:00+00:00
313,9,temperature,44.0,C,2026-09-06T14:28:00+00:00
314,9,temperature,40.9,C,2026-09-06T20:19:00+00:00
315,9,temperature,37.9,C,2026-09-07T02:16:00+00:00
316,9,temperature,28.1,C,2026-09-07T08:31:00+00:00
317,9,temperature,40.7,C,2026-09-07T14:39:00+00:00
318,9,temperature,38.2,C,2026-09-07T20:26:00+00:00
319,9,temperature,26.9,C,2026-09-08T02:39:00+00:00
320,9,temperature,35.0,C,2026-09-08T08:18:00+00:00
321,9,temperature,39.2,C,2026-09-08T14:40:00+00:00
322,9,temperature,35.4,C,2026-09-08T20:58:00+00:00
323,9,temperature,31.8,C,2026-09-09T02:37:00+00:00
324,9,temperature,43.6,C,2026-09-09T08:56:00+00:00
325,10,dust,4.8,mg/m3,2026-09-06T14:16:00+00:00
326,10,dust,8.1,mg/m3,2026-09-06T20:27:00+00:00
327,10,dust,3.4,mg/m3,2026-09-07T02:17:00+00:00
328,10,dust,8.4,mg/m3,2026-09-07T08:28:00+00:00
329,10,dust,4.0,mg/m3,2026-09-07T14:48:00+00:00
330,10,dust,1.7,mg/m3,2026-09-07T20:24:00+00:00
331,10,dust,5.3,mg/m3,2026-09-08T02:15:00+00:00
332,10,dust,2.3,mg/m3,2026-09-08T08:24:00+00:00
333,10,dust,7.1,mg/m3,2026-09-08T14:55:00+00:00
334,10,dust,7.3,mg/m3,2026-09-08T21:00:00+00:00
335,10,dust,5.7,mg/m3,2026-09-09T02:54:00+00:00
336,10,dust,6.2,mg/m3,2026-09-09T08:31:00+00:00
337,10,gas,36.6,ppm,2026-09-06T14:52:00+00:00
338,10,gas,29.4,ppm,2026-09-06T20:18:00+00:00
339,10,gas,25.8,ppm,2026-09-07T02:16:00+00:00
340,10,gas,28.3,ppm,2026-09-07T08:53:00+00:00
341,10,gas,24.3,ppm,2026-09-07T14:21:00+00:00
342,10,gas,10.9,ppm,2026-09-07T20:17:00+00:00
343,10,gas,16.1,ppm,2026-09-08T02:54:00+00:00
344,10,gas,22.2,ppm,2026-09-08T08:20:00+00:00
345,10,gas,88.0,ppm,2026-09-08T14:27:00+00:00
346,10,gas,27.3,ppm,2026-09-08T20:21:00+00:00
347,10,gas,34.2,ppm,2026-09-09T02:53:00+00:00
348,10,gas,23.8,ppm,2026-09-09T08:56:00+00:00
349,10,temperature,31.0,C,2026-09-06T14:55:00+00:00
350,10,temperature,43.1,C,2026-09-06T20:17:00+00:00
351,10,temperature,39.5,C,2026-09-07T02:54:00+00:00
352,10,temperature,51.4,C,2026-09-07T08:50:00+00:00
353,10,temperature,55.2,C,2026-09-07T14:24:00+00:00
354,10,temperature,42.9,C,2026-09-07T20:22:00+00:00
355,10,temperature,36.8,C,2026-09-08T02:25:00+00:00
356,10,temperature,30.7,C,2026-09-08T08:17:00+00:00
357,10,temperature,33.6,C,2026-09-08T14:55:00+00:00
358,10,temperature,40.3,C,2026-09-08T20:43:00+00:00
359,10,temperature,30.3,C,2026-09-09T02:57:00+00:00
360,10,temperature,36.6,C,2026-09-09T08:35:00+00:00
361,11,dust,9.2,mg/m3,2026-09-06T14:21:00+00:00
362,11,dust,7.9,mg/m3,2026-09-06T20:21:00+00:00
363,11,dust,2.1,mg/m3,2026-09-07T02:15:00+00:00
364,11,dust,20.8,mg/m3,2026-09-07T08:35:00+00:00
365,11,dust,8.8,mg/m3,2026-09-07T14:29:00+00:00
366,11,dust,4.8,mg/m3,2026-09-07T20:45:00+00:00
367,11,dust,3.7,mg/m3,2026-09-08T02:23:00+00:00
368,11,dust,3.6,mg/m3,2026-09-08T08:19:00+00:00
369,11,dust,1.7,mg/m3,2026-09-08T14:20:00+00:00
370,11,dust,8.3,mg/m3,2026-09-08T20:27:00+00:00
371,11,dust,1.7,mg/m3,2026-09-09T02:46:00+00:00
372,11,dust,3.0,mg/m3,2026-09-09T08:52:00+00:00
373,11,gas,36.7,ppm,2026-09-06T14:50:00+00:00
374,11,gas,19.2,ppm,2026-09-06T20:40:00+00:00
375,11,gas,37.8,ppm,2026-09-07T02:21:00+00:00
376,11,gas,33.2,ppm,2026-09-07T08:34:00+00:00
377,11,gas,22.8,ppm,2026-09-07T14:22:00+00:00
378,11,gas,38.6,ppm,2026-09-07T20:26:00+00:00
379,11,gas,25.5,ppm,2026-09-08T02:28:00+00:00
380,11,gas,19.7,ppm,2026-09-08T08:19:00+00:00
381,11,gas,18.1,ppm,2026-09-08T14:24:00+00:00
382,11,gas,27.3,ppm,2026-09-08T20:45:00+00:00
383,11,gas,19.3,ppm,2026-09-09T02:20:00+00:00
384,11,gas,25.7,ppm,2026-09-09T08:15:00+00:00
385,11,temperature,27.6,C,2026-09-06T14:58:00+00:00
386,11,temperature,34.4,C,2026-09-06T20:52:00+00:00
387,11,temperature,41.0,C,2026-09-07T02:50:00+00:00
388,11,temperature,26.6,C,2026-09-07T08:35:00+00:00
389,11,temperature,29.3,C,2026-09-07T14:37:00+00:00
390,11,temperature,24.9,C,2026-09-07T20:23:00+00:00
391,11,temperature,28.7,C,2026-09-08T02:24:00+00:00
392,11,temperature,22.1,C,2026-09-08T08:29:00+00:00
393,11,temperature,33.5,C,2026-09-08T14:49:00+00:00
394,11,temperature,27.6,C,2026-09-08T20:27:00+00:00
395,11,temperature,22.3,C,2026-09-09T02:28:00+00:00
396,11,temperature,40.9,C,2026-09-09T08:48:00+00:00
397,12,dust,6.9,mg/m3,2026-09-06T15:00:00+00:00
398,12,dust,5.1,mg/m3,2026-09-06T20:35:00+00:00
399,12,dust,5.6,mg/m3,2026-09-07T02:34:00+00:00
400,12,dust,7.6,mg/m3,2026-09-07T08:53:00+00:00
401,12,dust,18.8,mg/m3,2026-09-07T14:34:00+00:00
402,12,dust,3.0,mg/m3,2026-09-07T20:30:00+00:00
403,12,dust,4.5,mg/m3,2026-09-08T02:36:00+00:00
404,12,dust,2.5,mg/m3,2026-09-08T08:43:00+00:00
405,12,dust,2.6,mg/m3,2026-09-08T14:18:00+00:00
406,12,dust,5.2,mg/m3,2026-09-08T20:39:00+00:00
407,12,dust,10.7,mg/m3,2026-09-09T02:37:00+00:00
408,12,dust,5.8,mg/m3,2026-09-09T08:34:00+00:00
409,12,gas,6.0,ppm,2026-09-06T14:50:00+00:00
410,12,gas,31.8,ppm,2026-09-06T20:31:00+00:00
411,12,gas,38.1,ppm,2026-09-07T02:15:00+00:00
412,12,gas,8.9,ppm,2026-09-07T08:57:00+00:00
413,12,gas,26.0,ppm,2026-09-07T14:47:00+00:00
414,12,gas,26.3,ppm,2026-09-07T20:35:00+00:00
415,12,gas,38.0,ppm,2026-09-08T02:22:00+00:00
416,12,gas,33.3,ppm,2026-09-08T08:53:00+00:00
417,12,gas,27.5,ppm,2026-09-08T14:43:00+00:00
418,12,gas,26.0,ppm,2026-09-08T20:38:00+00:00
419,12,gas,9.3,ppm,2026-09-09T02:38:00+00:00
420,12,gas,31.6,ppm,2026-09-09T08:30:00+00:00
421,12,temperature,32.3,C,2026-09-06T14:46:00+00:00
422,12,temperature,54.5,C,2026-09-06T20:38:00+00:00
423,12,temperature,26.8,C,2026-09-07T02:30:00+00:00
424,12,temperature,33.6,C,2026-09-07T08:27:00+00:00
425,12,temperature,24.1,C,2026-09-07T14:37:00+00:00
426,12,temperature,43.0,C,2026-09-07T20:25:00+00:00
427,12,temperature,35.1,C,2026-09-08T02:23:00+00:00
428,12,temperature,26.2,C,2026-09-08T08:19:00+00:00
429,12,temperature,37.7,C,2026-09-08T14:26:00+00:00
430,12,temperature,38.1,C,2026-09-08T20:19:00+00:00
431,12,temperature,40.3,C,2026-09-09T02:32:00+00:00
